date,from_country,to_country,interconnector_id,flow_mw,capacity_mw
2022-01-01,FI,EE,estlink_1,207.9,358
2022-01-01,FI,EE,estlink_2,395.6,650
2022-01-01,SE,LT,nordbalt,473.3,700
2022-01-01,PL,LT,litpol_link,168.3,500
2022-01-01,EE,LV,ee_lv_electric,294.4,1500
2022-01-01,LV,LT,lv_lt_electric,196.3,1200
2022-01-02,FI,EE,estlink_1,225.3,358
2022-01-02,FI,EE,estlink_2,424.6,650
2022-01-02,SE,LT,nordbalt,433.1,700
2022-01-02,PL,LT,litpol_link,156.5,500
2022-01-02,EE,LV,ee_lv_electric,288.9,1500
2022-01-02,LV,LT,lv_lt_electric,192.5,1200
2022-01-03,FI,EE,estlink_1,203.9,358
2022-01-03,FI,EE,estlink_2,338.8,650
2022-01-03,SE,LT,nordbalt,387.9,700
2022-01-03,PL,LT,litpol_link,143.3,500
2022-01-03,EE,LV,ee_lv_electric,275.7,1500
2022-01-03,LV,LT,lv_lt_electric,205.0,1200
2022-01-04,FI,EE,estlink_1,185.5,358
2022-01-04,FI,EE,estlink_2,354.8,650
2022-01-04,SE,LT,nordbalt,502.8,700
2022-01-04,PL,LT,litpol_link,147.3,500
2022-01-04,EE,LV,ee_lv_electric,301.6,1500
2022-01-04,LV,LT,lv_lt_electric,177.2,1200
2022-01-05,FI,EE,estlink_1,191.3,358
2022-01-05,FI,EE,estlink_2,403.5,650
2022-01-05,SE,LT,nordbalt,408.6,700
2022-01-05,PL,LT,litpol_link,154.5,500
2022-01-05,EE,LV,ee_lv_electric,285.6,1500
2022-01-05,LV,LT,lv_lt_electric,195.3,1200
2022-01-06,FI,EE,estlink_1,190.4,358
2022-01-06,FI,EE,estlink_2,459.3,650
2022-01-06,SE,LT,nordbalt,449.5,700
2022-01-06,PL,LT,litpol_link,137.3,500
2022-01-06,EE,LV,ee_lv_electric,319.7,1500
2022-01-06,LV,LT,lv_lt_electric,180.5,1200
2022-01-07,FI,EE,estlink_1,203.3,358
2022-01-07,FI,EE,estlink_2,337.3,650
2022-01-07,SE,LT,nordbalt,402.2,700
2022-01-07,PL,LT,litpol_link,152.4,500
2022-01-07,EE,LV,ee_lv_electric,317.7,1500
2022-01-07,LV,LT,lv_lt_electric,202.7,1200
2022-01-08,FI,EE,estlink_1,198.1,358
2022-01-08,FI,EE,estlink_2,390.4,650
2022-01-08,SE,LT,nordbalt,396.8,700
2022-01-08,PL,LT,litpol_link,141.4,500
2022-01-08,EE,LV,ee_lv_electric,288.9,1500
2022-01-08,LV,LT,lv_lt_electric,216.9,1200
2022-01-09,FI,EE,estlink_1,205.5,358
2022-01-09,FI,EE,estlink_2,343.6,650
2022-01-09,SE,LT,nordbalt,461.7,700
2022-01-09,PL,LT,litpol_link,145.4,500
2022-01-09,EE,LV,ee_lv_electric,283.8,1500
2022-01-09,LV,LT,lv_lt_electric,209.8,1200
2022-01-10,FI,EE,estlink_1,216.5,358
2022-01-10,FI,EE,estlink_2,429.8,650
2022-01-10,SE,LT,nordbalt,419.8,700
2022-01-10,PL,LT,litpol_link,146.3,500
2022-01-10,EE,LV,ee_lv_electric,308.0,1500
2022-01-10,LV,LT,lv_lt_electric,215.6,1200
2022-01-11,FI,EE,estlink_1,192.3,358
2022-01-11,FI,EE,estlink_2,394.1,650
2022-01-11,SE,LT,nordbalt,410.2,700
2022-01-11,PL,LT,litpol_link,135.6,500
2022-01-11,EE,LV,ee_lv_electric,319.5,1500
2022-01-11,LV,LT,lv_lt_electric,221.7,1200
2022-01-12,FI,EE,estlink_1,198.8,358
2022-01-12,FI,EE,estlink_2,432.1,650
2022-01-12,SE,LT,nordbalt,463.0,700
2022-01-12,PL,LT,litpol_link,142.3,500
2022-01-12,EE,LV,ee_lv_electric,308.7,1500
2022-01-12,LV,LT,lv_lt_electric,224.6,1200
2022-01-13,FI,EE,estlink_1,199.4,358
2022-01-13,FI,EE,estlink_2,450.1,650
2022-01-13,SE,LT,nordbalt,355.7,700
2022-01-13,PL,LT,litpol_link,159.9,500
2022-01-13,EE,LV,ee_lv_electric,302.1,1500
2022-01-13,LV,LT,lv_lt_electric,195.2,1200
2022-01-14,FI,EE,estlink_1,201.5,358
2022-01-14,FI,EE,estlink_2,336.4,650
2022-01-14,SE,LT,nordbalt,442.1,700
2022-01-14,PL,LT,litpol_link,154.3,500
2022-01-14,EE,LV,ee_lv_electric,335.5,1500
2022-01-14,LV,LT,lv_lt_electric,191.7,1200
2022-01-15,FI,EE,estlink_1,187.1,358
2022-01-15,FI,EE,estlink_2,383.9,650
2022-01-15,SE,LT,nordbalt,483.0,700
2022-01-15,PL,LT,litpol_link,153.9,500
2022-01-15,EE,LV,ee_lv_electric,287.3,1500
2022-01-15,LV,LT,lv_lt_electric,208.2,1200
2022-01-16,FI,EE,estlink_1,201.6,358
2022-01-16,FI,EE,estlink_2,431.0,650
2022-01-16,SE,LT,nordbalt,424.7,700
2022-01-16,PL,LT,litpol_link,146.1,500
2022-01-16,EE,LV,ee_lv_electric,290.6,1500
2022-01-16,LV,LT,lv_lt_electric,176.6,1200
2022-01-17,FI,EE,estlink_1,204.7,358
2022-01-17,FI,EE,estlink_2,408.4,650
2022-01-17,SE,LT,nordbalt,450.2,700
2022-01-17,PL,LT,litpol_link,147.2,500
2022-01-17,EE,LV,ee_lv_electric,266.0,1500
2022-01-17,LV,LT,lv_lt_electric,193.3,1200
2022-01-18,FI,EE,estlink_1,194.5,358
2022-01-18,FI,EE,estlink_2,374.3,650
2022-01-18,SE,LT,nordbalt,444.2,700
2022-01-18,PL,LT,litpol_link,154.8,500
2022-01-18,EE,LV,ee_lv_electric,345.3,1500
2022-01-18,LV,LT,lv_lt_electric,202.8,1200
2022-01-19,FI,EE,estlink_1,204.1,358
2022-01-19,FI,EE,estlink_2,397.6,650
2022-01-19,SE,LT,nordbalt,380.9,700
2022-01-19,PL,LT,litpol_link,149.7,500
2022-01-19,EE,LV,ee_lv_electric,301.4,1500
2022-01-19,LV,LT,lv_lt_electric,239.4,1200
2022-01-20,FI,EE,estlink_1,196.9,358
2022-01-20,FI,EE,estlink_2,409.6,650
2022-01-20,SE,LT,nordbalt,448.8,700
2022-01-20,PL,LT,litpol_link,136.0,500
2022-01-20,EE,LV,ee_lv_electric,327.4,1500
2022-01-20,LV,LT,lv_lt_electric,212.0,1200
2022-01-21,FI,EE,estlink_1,212.7,358
2022-01-21,FI,EE,estlink_2,370.9,650
2022-01-21,SE,LT,nordbalt,500.5,700
2022-01-21,PL,LT,litpol_link,133.2,500
