date,point_id,from_area,to_area,flow_mcm,capacity_mcm
2022-01-01,balticconnector,FI,EE,5.83,7.2
2022-01-01,gipl,PL,LT,5.77,6.5
2022-01-01,klaipeda_lng,GLOBAL,LT,8.16,10.3
2022-01-01,incukalns_ugs,LV,LV,3.69,6.4
2022-01-02,balticconnector,FI,EE,6.86,7.2
2022-01-02,gipl,PL,LT,5.17,6.5
2022-01-02,klaipeda_lng,GLOBAL,LT,7.63,10.3
2022-01-02,incukalns_ugs,LV,LV,4.03,6.4
2022-01-03,balticconnector,FI,EE,6.13,7.2
2022-01-03,gipl,PL,LT,5.06,6.5
2022-01-03,klaipeda_lng,GLOBAL,LT,7.87,10.3
2022-01-03,incukalns_ugs,LV,LV,3.75,6.4
2022-01-04,balticconnector,FI,EE,6.83,7.2
2022-01-04,gipl,PL,LT,5.95,6.5
2022-01-04,klaipeda_lng,GLOBAL,LT,7.35,10.3
2022-01-04,incukalns_ugs,LV,LV,3.4,6.4
2022-01-05,balticconnector,FI,EE,5.5,7.2
2022-01-05,gipl,PL,LT,5.14,6.5
2022-01-05,klaipeda_lng,GLOBAL,LT,7.4,10.3
2022-01-05,incukalns_ugs,LV,LV,3.96,6.4
2022-01-06,balticconnector,FI,EE,6.57,7.2
2022-01-06,gipl,PL,LT,4.56,6.5
2022-01-06,klaipeda_lng,GLOBAL,LT,6.71,10.3
2022-01-06,incukalns_ugs,LV,LV,3.99,6.4
2022-01-07,balticconnector,FI,EE,6.57,7.2
2022-01-07,gipl,PL,LT,5.03,6.5
2022-01-07,klaipeda_lng,GLOBAL,LT,6.81,10.3
2022-01-07,incukalns_ugs,LV,LV,4.04,6.4
2022-01-08,balticconnector,FI,EE,7.14,7.2
2022-01-08,gipl,PL,LT,5.31,6.5
2022-01-08,klaipeda_lng,GLOBAL,LT,7.29,10.3
2022-01-08,incukalns_ugs,LV,LV,3.91,6.4
2022-01-09,balticconnector,FI,EE,5.82,7.2
2022-01-09,gipl,PL,LT,5.62,6.5
2022-01-09,klaipeda_lng,GLOBAL,LT,7.85,10.3
2022-01-09,incukalns_ugs,LV,LV,3.37,6.4
2022-01-10,balticconnector,FI,EE,6.35,7.2
2022-01-10,gipl,PL,LT,5.39,6.5
2022-01-10,klaipeda_lng,GLOBAL,LT,7.6,10.3
2022-01-10,incukalns_ugs,LV,LV,3.82,6.4
2022-01-11,balticconnector,FI,EE,5.89,7.2
2022-01-11,gipl,PL,LT,5.43,6.5
2022-01-11,klaipeda_lng,GLOBAL,LT,7.41,10.3
2022-01-11,incukalns_ugs,LV,LV,3.25,6.4
2022-01-12,balticconnector,FI,EE,6.31,7.2
2022-01-12,gipl,PL,LT,5.59,6.5
2022-01-12,klaipeda_lng,GLOBAL,LT,7.57,10.3
2022-01-12,incukalns_ugs,LV,LV,4.42,6.4
2022-01-13,balticconnector,FI,EE,6.71,7.2
2022-01-13,gipl,PL,LT,5.34,6.5
2022-01-13,klaipeda_lng,GLOBAL,LT,7.72,10.3
2022-01-13,incukalns_ugs,LV,LV,3.88,6.4
2022-01-14,balticconnector,FI,EE,6.37,7.2
2022-01-14,gipl,PL,LT,5.08,6.5
2022-01-14,klaipeda_lng,GLOBAL,LT,8.12,10.3
2022-01-14,incukalns_ugs,LV,LV,3.62,6.4
2022-01-15,balticconnector,FI,EE,5.96,7.2
2022-01-15,gipl,PL,LT,4.75,6.5
2022-01-15,klaipeda_lng,GLOBAL,LT,9.03,10.3
2022-01-15,incukalns_ugs,LV,LV,4.06,6.4
2022-01-16,balticconnector,FI,EE,6.65,7.2
2022-01-16,gipl,PL,LT,4.78,6.5
2022-01-16,klaipeda_lng,GLOBAL,LT,8.17,10.3
2022-01-16,incukalns_ugs,LV,LV,3.87,6.4
2022-01-17,balticconnector,FI,EE,6.61,7.2
2022-01-17,gipl,PL,LT,4.81,6.5
2022-01-17,klaipeda_lng,GLOBAL,LT,7.9,10.3
2022-01-17,incukalns_ugs,LV,LV,3.77,6.4
2022-01-18,balticconnector,FI,EE,6.12,7.2
2022-01-18,gipl,PL,LT,5.49,6.5
2022-01-18,klaipeda_lng,GLOBAL,LT,6.88,10.3
2022-01-18,incukalns_ugs,LV,LV,4.07,6.4
2022-01-19,balticconnector,FI,EE,6.84,7.2
2022-01-19,gipl,PL,LT,4.85,6.5
2022-01-19,klaipeda_lng,GLOBAL,LT,7.31,10.3
2022-01-19,incukalns_ugs,LV,LV,3.83,6.4
2022-01-20,balticconnector,FI,EE,6.64,7.2
2022-01-20,gipl,PL,LT,5.14,6.5
2022-01-20,klaipeda_lng,GLOBAL,LT,8.06,10.3
2022-01-20,incukalns_ugs,LV,LV,4.43,6.4
2022-01-21,balticconnector,FI,EE,6.25,7.2
2022-01-21,gipl,PL,LT,4.51,6.5
2022-01-21,klaipeda_lng,GLOBAL,LT,8.3,10.3
2022-01-21,incukalns_ugs,LV,LV,4.4,6.4
2022-01-22,balticconnector,FI,EE,6.7,7.2
2022-01-22,gipl,PL,LT,4.76,6.5
2022-01-22,klaipeda_lng,GLOBAL,LT,7.73,10.3
2022-01-22,incukalns_ugs,LV,LV,3.56,6.4
2022-01-23,balticconnector,FI,EE,6.82,7.2
2022-01-23,gipl,PL,LT,4.66,6.5
2022-01-23,klaipeda_lng,GLOBAL,LT,7.62,10.3
2022-01-23,incukalns_ugs,LV,LV,3.6,6.4
2022-01-24,balticconnector,FI,EE,6.56,7.2
2022-01-24,gipl,PL,LT,5.05,6.5
2022-01-24,klaipeda_lng,GLOBAL,LT,7.91,10.3
2022-01-24,incukalns_ugs,LV,LV,3.91,6.4
2022-01-25,balticconnector,FI,EE,6.01,7.2
2022-01-25,gipl,PL,LT,5.45,6.5
2022-01-25,klaipeda_lng,GLOBAL,LT,7.77,10.3
2022-01-25,incukalns_ugs,LV,LV,3.6,6.4
2022-01-26,balticconnector,FI,EE,7.2,7.2
2022-01-26,gipl,PL,LT,5.39,6.5
2022-01-26,klaipeda_lng,GLOBAL,LT,7.71,10.3
2022-01-26,incukalns_ugs,LV,LV,4.32,6.4
2022-01-27,balticconnector,FI,EE,7.2,7.2
2022-01-27,gipl,PL,LT,5.14,6.5
2022-01-27,klaipeda_lng,GLOBAL,LT,8.01,10.3
2022-01-27,incukalns_ugs,LV,LV,3.6,6.4
2022-01-28,balticconnector,FI,EE,6.43,7.2
2022-01-28,gipl,PL,LT,5.12,6.5
2022-01-28,klaipeda_lng,GLOBAL,LT,7.91,10.3
2022-01-28,incukalns_ugs,LV,LV,4.0,6.4
2022-01-29,balticconnector,FI,EE,6.78,7.2
2022-01-29,gipl,PL,LT,5.3,6.5
2022-01-29,klaipeda_lng,GLOBAL,LT,7.07,10.3
2022-01-29,incukalns_ugs,LV,LV,3.62,6.4
2022-01-30,balticconnector,FI,EE,6.23,7.2
2022-01-30,gipl,PL,LT,5.09,6.5
2022-01-30,klaipeda_lng,GLOBAL,LT,8.43,10.3
2022-01-30,incukalns_ugs,LV,LV,3.55,6.4
2022-01-31,balticconnector,FI,EE,6.32,7.2
2022-01-31,gipl,PL,LT,5.58,6.5
2022-01-31,klaipeda_lng,GLOBAL,LT,7.62,10.3
2022-01-31,incukalns_ugs,LV,LV,4.04,6.4
2022-02-01,balticconnector,FI,EE,6.23,7.2
2022-02-01,gipl,PL,LT,5.14,6.5
2022-02-01,klaipeda_lng,GLOBAL,LT,7.42,10.3
2022-02-01,incukalns_ugs,LV,LV,3.98,6.4
2022-02-02,balticconnector,FI,EE,5.53,7.2
2022-02-02,gipl,PL,LT,4.89,6.5
2022-02-02,klaipeda_lng,GLOBAL,LT,7.74,10.3
2022-02-02,incukalns_ugs,LV,LV,3.94,6.4
2022-02-03,balticconnector,FI,EE,7.05,7.2
2022-02-03,gipl,PL,LT,4.88,6.5
2022-02-03,klaipeda_lng,GLOBAL,LT,8.45,10.3
2022-02-03,incukalns_ugs,LV,LV,3.58,6.4
2022-02-04,balticconnector,FI,EE,6.96,7.2
2022-02-04,gipl,PL,LT,5.37,6.5
2022-02-04,klaipeda_lng,GLOBAL,LT,7.01,10.3
2022-02-04,incukalns_ugs,LV,LV,3.87,6.4
2022-02-05,balticconnector,FI,EE,6.27,7.2
2022-02-05,gipl,PL,LT,5.29,6.5
2022-02-05,klaipeda_lng,GLOBAL,LT,7.42,10.3
2022-02-05,incukalns_ugs,LV,LV,3.69,6.4
2022-02-06,balticconnector,FI,EE,6.98,7.2
2022-02-06,gipl,PL,LT,5.0,6.5
2022-02-06,klaipeda_lng,GLOBAL,LT,8.05,10.3
2022-02-06,incukalns_ugs,LV,LV,3.71,6.4
2022-02-07,balticconnector,FI,EE,7.13,7.2
2022-02-07,gipl,PL,LT,4.77,6.5
2022-02-07,klaipeda_lng,GLOBAL,LT,7.19,10.3
2022-02-07,incukalns_ugs,LV,LV,4.24,6.4
2022-02-08,balticconnector,FI,EE,6.08,7.2
2022-02-08,gipl,PL,LT,5.68,6.5
2022-02-08,klaipeda_lng,GLOBAL,LT,8.09,10.3
2022-02-08,incukalns_ugs,LV,LV,3.73,6.4
2022-02-09,balticconnector,FI,EE,5.39,7.2
2022-02-09,gipl,PL,LT,5.03,6.5
2022-02-09,klaipeda_lng,GLOBAL,LT,7.62,10.3
2022-02-09,incukalns_ugs,LV,LV,4.13,6.4
2022-02-10,balticconnector,FI,EE,7.09,7.2
2022-02-10,gipl,PL,LT,4.77,6.5
2022-02-10,klaipeda_lng,GLOBAL,LT,8.04,10.3
2022-02-10,incukalns_ugs,LV,LV,4.01,6.4
2022-02-11,balticconnector,FI,EE,6.84,7.2
2022-02-11,gipl,PL,LT,5.24,6.5
2022-02-11,klaipeda_lng,GLOBAL,LT,6.39,10.3
2022-02-11,incukalns_ugs,LV,LV,3.73,6.4
2022-02-12,balticconnector,FI,EE,5.72,7.2
2022-02-12,gipl,PL,LT,4.96,6.5
2022-02-12,klaipeda_lng,GLOBAL,LT,8.15,10.3
2022-02-12,incukalns_ugs,LV,LV,3.87,6.4
2022-02-13,balticconnector,FI,EE,6.87,7.2
2022-02-13,gipl,PL,LT,5.18,6.5
2022-02-13,klaipeda_lng,GLOBAL,LT,6.78,10.3
2022-02-13,incukalns_ugs,LV,LV,3.02,6.4
2022-02-14,balticconnector,FI,EE,6.37,7.2
2022-02-14,gipl,PL,LT,4.95,6.5
2022-02-14,klaipeda_lng,GLOBAL,LT,6.97,10.3
2022-02-14,incukalns_ugs,LV,LV,3.27,6.4
2022-02-15,balticconnector,FI,EE,5.93,7.2
2022-02-15,gipl,PL,LT,4.96,6.5
2022-02-15,klaipeda_lng,GLOBAL,LT,7.96,10.3
2022-02-15,incukalns_ugs,LV,LV,3.84,6.4
2022-02-16,balticconnector,FI,EE,7.1,7.2
2022-02-16,gipl,PL,LT,4.62,6.5
2022-02-16,klaipeda_lng,GLOBAL,LT,8.09,10.3
2022-02-16,incukalns_ugs,LV,LV,3.79,6.4
2022-02-17,balticconnector,FI,EE,6.65,7.2
2022-02-17,gipl,PL,LT,4.86,6.5
2022-02-17,klaipeda_lng,GLOBAL,LT,8.2,10.3
2022-02-17,incukalns_ugs,LV,LV,3.87,6.4
2022-02-18,balticconnector,FI,EE,5.96,7.2
2022-02-18,gipl,PL,LT,5.03,6.5
2022-02-18,klaipeda_lng,GLOBAL,LT,7.42,10.3
2022-02-18,incukalns_ugs,LV,LV,3.93,6.4
2022-02-19,balticconnector,FI,EE,5.71,7.2
2022-02-19,gipl,PL,LT,5.03,6.5
2022-02-19,klaipeda_lng,GLOBAL,LT,7.8,10.3
2022-02-19,incukalns_ugs,LV,LV,3.79,6.4
2022-02-20,balticconnector,FI,EE,6.97,7.2
2022-02-20,gipl,PL,LT,5.35,6.5
2022-02-20,klaipeda_lng,GLOBAL,LT,7.55,10.3
2022-02-20,incukalns_ugs,LV,LV,3.84,6.4
2022-02-21,balticconnector,FI,EE,6.45,7.2
2022-02-21,gipl,PL,LT,5.2,6.5
2022-02-21,klaipeda_lng,GLOBAL,LT,6.46,10.3
2022-02-21,incukalns_ugs,LV,LV,3.69,6.4
2022-02-22,balticconnector,FI,EE,5.56,7.2
2022-02-22,gipl,PL,LT,5.55,6.5
2022-02-22,klaipeda_lng,GLOBAL,LT,7.52,10.3
2022-02-22,incukalns_ugs,LV,LV,3.72,6.4
2022-02-23,balticconnector,FI,EE,6.75,7.2
2022-02-23,gipl,PL,LT,5.21,6.5
2022-02-23,klaipeda_lng,GLOBAL,LT,6.88,10.3
2022-02-23,incukalns_ugs,LV,LV,3.76,6.4
2022-02-24,balticconnector,FI,EE,6.13,7.2
2022-02-24,gipl,PL,LT,4.34,6.5
2022-02-24,klaipeda_lng,GLOBAL,LT,7.14,10.3
2022-02-24,incukalns_ugs,LV,LV,3.72,6.4
2022-02-25,balticconnector,FI,EE,6.24,7.2
2022-02-25,gipl,PL,LT,4.45,6.5
2022-02-25,klaipeda_lng,GLOBAL,LT,8.25,10.3
2022-02-25,incukalns_ugs,LV,LV,3.75,6.4
2022-02-26,balticconnector,FI,EE,6.32,7.2
2022-02-26,gipl,PL,LT,5.2,6.5
2022-02-26,klaipeda_lng,GLOBAL,LT,7.09,10.3
2022-02-26,incukalns_ugs,LV,LV,3.92,6.4
2022-02-27,balticconnector,FI,EE,6.12,7.2
2022-02-27,gipl,PL,LT,4.68,6.5
2022-02-27,klaipeda_lng,GLOBAL,LT,7.9,10.3
2022-02-27,incukalns_ugs,LV,LV,4.23,6.4
2022-02-28,balticconnector,FI,EE,6.66,7.2
2022-02-28,gipl,PL,LT,5.41,6.5
2022-02-28,klaipeda_lng,GLOBAL,LT,7.25,10.3
2022-02-28,incukalns_ugs,LV,LV,3.3,6.4
2022-03-01,balticconnector,FI,EE,6.5,7.2
2022-03-01,gipl,PL,LT,5.42,6.5
2022-03-01,klaipeda_lng,GLOBAL,LT,7.83,10.3
2022-03-01,incukalns_ugs,LV,LV,3.35,6.4
2022-03-02,balticconnector,FI,EE,5.17,7.2
2022-03-02,gipl,PL,LT,4.17,6.5
2022-03-02,klaipeda_lng,GLOBAL,LT,5.89,10.3
2022-03-02,incukalns_ugs,LV,LV,3.42,6.4
2022-03-03,balticconnector,FI,EE,6.55,7.2
2022-03-03,gipl,PL,LT,4.54,6.5
2022-03-03,klaipeda_lng,GLOBAL,LT,7.08,10.3
2022-03-03,incukalns_ugs,LV,LV,3.86,6.4
2022-03-04,balticconnector,FI,EE,5.55,7.2
2022-03-04,gipl,PL,LT,5.41,6.5
2022-03-04,klaipeda_lng,GLOBAL,LT,8.1,10.3
2022-03-04,incukalns_ugs,LV,LV,3.41,6.4
2022-03-05,balticconnector,FI,EE,5.46,7.2
2022-03-05,gipl,PL,LT,4.88,6.5
2022-03-05,klaipeda_lng,GLOBAL,LT,6.69,10.3
2022-03-05,incukalns_ugs,LV,LV,3.1,6.4
2022-03-06,balticconnector,FI,EE,6.39,7.2
2022-03-06,gipl,PL,LT,5.09,6.5
2022-03-06,klaipeda_lng,GLOBAL,LT,6.99,10.3
2022-03-06,incukalns_ugs,LV,LV,3.07,6.4
2022-03-07,balticconnector,FI,EE,5.14,7.2
2022-03-07,gipl,PL,LT,4.64,6.5
2022-03-07,klaipeda_lng,GLOBAL,LT,6.6,10.3
2022-03-07,incukalns_ugs,LV,LV,3.35,6.4
2022-03-08,balticconnector,FI,EE,6.26,7.2
2022-03-08,gipl,PL,LT,4.89,6.5
2022-03-08,klaipeda_lng,GLOBAL,LT,7.73,10.3
2022-03-08,incukalns_ugs,LV,LV,3.15,6.4
2022-03-09,balticconnector,FI,EE,5.58,7.2
2022-03-09,gipl,PL,LT,4.9,6.5
2022-03-09,klaipeda_lng,GLOBAL,LT,7.17,10.3
2022-03-09,incukalns_ugs,LV,LV,3.91,6.4
2022-03-10,balticconnector,FI,EE,5.96,7.2
2022-03-10,gipl,PL,LT,5.34,6.5
2022-03-10,klaipeda_lng,GLOBAL,LT,7.22,10.3
2022-03-10,incukalns_ugs,LV,LV,3.77,6.4
2022-03-11,balticconnector,FI,EE,5.59,7.2
2022-03-11,gipl,PL,LT,4.61,6.5
2022-03-11,klaipeda_lng,GLOBAL,LT,7.45,10.3
2022-03-11,incukalns_ugs,LV,LV,3.93,6.4
2022-03-12,balticconnector,FI,EE,6.11,7.2
2022-03-12,gipl,PL,LT,4.57,6.5
2022-03-12,klaipeda_lng,GLOBAL,LT,7.73,10.3
2022-03-12,incukalns_ugs,LV,LV,2.79,6.4
2022-03-13,balticconnector,FI,EE,5.04,7.2
2022-03-13,gipl,PL,LT,4.87,6.5
2022-03-13,klaipeda_lng,GLOBAL,LT,6.91,10.3
2022-03-13,incukalns_ugs,LV,LV,3.63,6.4
2022-03-14,balticconnector,FI,EE,5.78,7.2
2022-03-14,gipl,PL,LT,4.83,6.5
2022-03-14,klaipeda_lng,GLOBAL,LT,6.41,10.3
2022-03-14,incukalns_ugs,LV,LV,3.62,6.4
2022-03-15,balticconnector,FI,EE,6.25,7.2
2022-03-15,gipl,PL,LT,5.09,6.5
2022-03-15,klaipeda_lng,GLOBAL,LT,8.11,10.3
2022-03-15,incukalns_ugs,LV,LV,3.52,6.4
2022-03-16,balticconnector,FI,EE,5.89,7.2
2022-03-16,gipl,PL,LT,3.99,6.5
2022-03-16,klaipeda_lng,GLOBAL,LT,6.58,10.3
2022-03-16,incukalns_ugs,LV,LV,3.39,6.4
2022-03-17,balticconnector,FI,EE,6.28,7.2
2022-03-17,gipl,PL,LT,4.36,6.5
2022-03-17,klaipeda_lng,GLOBAL,LT,7.38,10.3
2022-03-17,incukalns_ugs,LV,LV,3.45,6.4
2022-03-18,balticconnector,FI,EE,5.66,7.2
2022-03-18,gipl,PL,LT,4.7,6.5
2022-03-18,klaipeda_lng,GLOBAL,LT,6.67,10.3
2022-03-18,incukalns_ugs,LV,LV,3.32,6.4
2022-03-19,balticconnector,FI,EE,4.9,7.2
2022-03-19,gipl,PL,LT,4.5,6.5
2022-03-19,klaipeda_lng,GLOBAL,LT,6.61,10.3
2022-03-19,incukalns_ugs,LV,LV,3.3,6.4
2022-03-20,balticconnector,FI,EE,5.96,7.2
2022-03-20,gipl,PL,LT,4.86,6.5
2022-03-20,klaipeda_lng,GLOBAL,LT,7.04,10.3
2022-03-20,incukalns_ugs,LV,LV,3.75,6.4
2022-03-21,balticconnector,FI,EE,6.04,7.2
2022-03-21,gipl,PL,LT,4.48,6.5
2022-03-21,klaipeda_lng,GLOBAL,LT,6.62,10.3
2022-03-21,incukalns_ugs,LV,LV,3.54,6.4
2022-03-22,balticconnector,FI,EE,6.04,7.2
2022-03-22,gipl,PL,LT,5.16,6.5
2022-03-22,klaipeda_lng,GLOBAL,LT,7.61,10.3
